rank,title,total ratings,installs,average rating,growth (30 days),category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,Name,EU_Sales,Publisher,Genre,Year,Platform
1,Garena Free Fire- World Series,86273129,500.0 M,4,2.1,GAME ACTION,63546766,4949507,3158756,2122183,12495915,FALSE,Wii Sports,29.02,Nintendo,Sports,2006,Wii
2,PUBG MOBILE - Traverse,37276732,500.0 M,4,1.8,GAME ACTION,28339753,2164478,1253185,809821,4709492,FALSE,Super Mario Bros.,3.58,Nintendo,Platform,1985,NES
3,Mobile Legends: Bang Bang,26663595,100.0 M,4,1.5,GAME ACTION,18777988,1812094,1050600,713912,4308998,FALSE,Mario Kart Wii,12.88,Nintendo,Racing,2008,Wii
4,Brawl Stars,17971552,100.0 M,4,1.4,GAME ACTION,13018610,1552950,774012,406184,2219794,FALSE,Wii Sports Resort,11.01,Nintendo,Sports,2009,Wii
5,Sniper 3D: Fun Free Online FPS Shooting Game,14464235,500.0 M,4,0.8,GAME ACTION,9827328,2124154,1047741,380670,1084340,FALSE,Pokemon Red/Pokemon Blue,8.89,Nintendo,Role-Playing,1996,GB
6,Call of Duty®: Mobile - Season 4: Spurned & Burned,13572148,100.0 M,4,2.0,GAME ACTION,10501443,1274162,517273,268489,1010778,FALSE,Tetris,2.26,Nintendo,Puzzle,1989,GB
7,Among Us,11936964,100.0 M,3,1.8,GAME ACTION,5954262,1041297,853099,719378,3368926,FALSE,New Super Mario Bros.,9.23,Nintendo,Platform,2006,DS
8,Temple Run 2,9633929,500.0 M,4,0.3,GAME ACTION,6579369,991341,614643,349003,1099571,FALSE,Wii Play,9.2,Nintendo,Misc,2006,Wii
9,PUBG MOBILE LITE,7578630,100.0 M,4,1.0,GAME ACTION,5382545,500696,351523,238986,1104879,FALSE,New Super Mario Bros. Wii,07.06,Nintendo,Platform,2009,Wii
10,Gangstar Vegas: World of Crime,6268377,100.0 M,4,0.4,GAME ACTION,4509647,605510,319332,167792,666094,FALSE,Duck Hunt,0.63,Nintendo,Shooter,1984,NES
11,Pixel Gun 3D: FPS Shooter & Battle Royale,5681934,100.0 M,4,0.2,GAME ACTION,3866308,527159,326294,186593,775578,FALSE,Nintendogs,11,Nintendo,Simulation,2005,DS
12,Bowmasters,5471344,100.0 M,4,2.0,GAME ACTION,4319351,514574,229990,98901,308525,FALSE,Mario Kart DS,7.57,Nintendo,Racing,2005,DS
13,Standoff 2,4801658,50.0 M,4,3.0,GAME ACTION,3884644,365380,135150,65422,351059,FALSE,Pokemon Gold/Pokemon Silver,6.18,Nintendo,Role-Playing,1999,GB
14,Talking Tom Gold Run,4710639,100.0 M,4,1.3,GAME ACTION,3581634,397794,200800,116460,413948,FALSE,Wii Fit,08.03,Nintendo,Sports,2007,Wii
15,Garena Liên Quân Mobile,4564398,50.0 M,4,1.0,GAME ACTION,3142312,386513,204843,111645,719082,FALSE,Wii Fit Plus,8.59,Nintendo,Sports,2009,Wii
16,Banana Kong,4496723,100.0 M,4,0.5,GAME ACTION,3497817,518453,223009,72115,185328,FALSE,Kinect Adventures!,4.94,Microsoft Game Studios,Misc,2010,X360
17,Crossy Road,4464668,100.0 M,4,0.1,GAME ACTION,3379550,576816,234463,68644,205194,FALSE,Grand Theft Auto V,9.27,Take-Two Interactive,Action,2013,PS3
18,War Robots. 6v6 Tactical Multiplayer Battles,4221389,50.0 M,3,692.7,GAME ACTION,2634036,450688,267931,164087,704645,FALSE,Grand Theft Auto: San Andreas,0.4,Take-Two Interactive,Action,2004,PS2
19,MORTAL KOMBAT: The Ultimate Fighting Game!,4215808,50.0 M,4,0.5,GAME ACTION,2874353,457806,254154,136153,493340,FALSE,Super Mario World,3.75,Nintendo,Platform,1990,SNES
20,Last Day on Earth: Survival,4159837,50.0 M,4,0.7,GAME ACTION,3073534,463932,205166,103198,314004,FALSE,Brain Age: Train Your Brain in Minutes a Day,9.26,Nintendo,Misc,2005,DS
21,Agar.io,4112075,100.0 M,3,0.2,GAME ACTION,2493810,428315,289428,156522,743997,FALSE,Pokemon Diamond/Pokemon Pearl,4.52,Nintendo,Role-Playing,2006,DS
22,DEER HUNTER CLASSIC,3987062,100.0 M,4,0.0,GAME ACTION,2776350,614755,242698,81199,272058,FALSE,Super Mario Land,2.71,Nintendo,Platform,1989,GB
23,Modern Combat 5: eSports FPS,3516024,100.0 M,4,0.5,GAME ACTION,2419540,421218,214049,100008,361206,FALSE,Super Mario Bros. 3,3.44,Nintendo,Platform,1988,NES
24,Kick the Buddy,3213257,100.0 M,4,1.0,GAME ACTION,2174466,265019,189630,118612,465528,FALSE,Grand Theft Auto V,5.31,Take-Two Interactive,Action,2013,X360
25,Special Forces Group 2,3195503,100.0 M,4,1.4,GAME ACTION,2486283,232254,118927,70889,287147,FALSE,Grand Theft Auto: Vice City,5.49,Take-Two Interactive,Action,2002,PS2
26,DEAD TRIGGER 2 - Zombie Game FPS shooter,3140510,50.0 M,4,0.2,GAME ACTION,2332406,409344,156460,63835,178462,FALSE,Pokemon Ruby/Pokemon Sapphire,3.9,Nintendo,Role-Playing,2002,GBA
27,Mini Militia - Doodle Army 2,3133361,100.0 M,4,0.9,GAME ACTION,2107121,271167,174340,107203,473528,FALSE,Pokemon Black/Pokemon White,3.28,Nintendo,Role-Playing,2010,DS
28,Call of Duty®: Mobile - Garena,2695923,10.0 M,4,3.2,GAME ACTION,1922909,223625,133776,79762,335849,FALSE,Brain Age 2: More Training in Minutes a Day,5.36,Nintendo,Puzzle,2005,DS
29,CATS: Crash Arena Turbo Stars,2670589,50.0 M,4,1082.3,GAME ACTION,1944649,272948,134237,69845,248907,FALSE,Gran Turismo 3: A-Spec,05.09,Sony Computer Entertainment,Racing,2001,PS2
